ID,SA4_ID
564,38
565,53
566,54
567,37
568,30
569,2
570,29
571,70
572,12
573,32
574,7
575,6
576,6
577,30
578,65
579,75
580,16
581,20
582,36
583,26
584,41
585,70
586,38
587,9
588,38
589,41
590,15
591,52
592,16
593,40
594,50
595,49
596,17
597,17
598,62
599,62
600,13
601,15
602,15
603,15
604,39
605,31
606,50
607,18
608,45
609,29
610,41
611,7
612,48
613,38
614,38
615,65
616,22
617,13
618,41
619,39
620,3
621,61
622,17
623,17
624,17
625,17
626,62
627,26
628,62
629,38
630,26
631,15
632,15
633,67
634,46
635,46
636,45
637,9
638,53
639,9
640,32
641,18
642,59
643,38
644,36
645,12
646,10
647,38
648,63
649,51
650,40
651,16
652,8
653,63
654,17
655,73
656,73
657,73
658,48
659,48
660,3
661,55
662,21
663,76
664,15
665,74
666,27
667,16
668,32
669,16
670,77
671,9
672,53
673,16
674,11
675,4
676,43
677,22
678,73
679,15
680,32
681,49
682,49
683,4
684,26
685,22
686,12
687,15
688,70
689,32
690,7
691,27
692,53
693,44
694,65
695,20
696,73
697,16
698,76
699,52
700,4
701,7
702,7
703,23
704,23
705,23
706,53
707,53
708,4
709,14
710,62
711,62
712,3
713,50
714,53
715,37
716,28
717,48
718,48
719,39
720,18
721,38
722,54
723,23
724,25
725,54
726,43
727,2
728,17
729,17
730,44
731,18
732,9
733,58
734,6
735,27
736,21
737,3
738,53
739,42
740,32
741,77
742,39
743,11
744,39
745,24
746,39
747,3
748,62
749,66
750,46
751,53
752,65
753,39
754,18
755,15
756,15
757,15
758,39
759,43
760,10
761,3
762,16
763,55
764,67
765,59
766,27
767,50
768,63
769,11
770,63
771,22
772,5
773,73
774,43
775,60
776,16
777,76
778,23
779,50
780,19
781,4
782,63
783,9
784,9
785,38
786,70
787,14
788,15
789,67
790,31
791,73
792,73
793,21
794,53
795,54
796,12
797,50
798,19
799,76
800,5
801,38
802,43
803,35
804,33
805,33
806,4
807,51
808,63
809,16
810,6
811,67
812,60
813,37
814,22
815,29
816,73
817,20
818,46
819,44
820,36
821,36
822,29
823,6
824,6
825,9
826,41
827,14
828,9
829,15
830,13
831,13
832,53
833,53
834,38
835,53
836,9
837,53
838,38
839,7
840,32
841,27
842,15
843,39
844,20
845,55
846,68
847,21
848,40
849,12
850,12
851,6
852,32
853,32
854,32
855,32
856,36
857,54
858,78
859,39
860,47
861,42
862,22
863,50
864,38
865,4
866,4
867,4
868,70
869,67
870,12
871,1
872,27
873,11
874,41
875,52
876,70
877,36
878,43
879,4
880,34
881,53
882,59
883,24
884,35
885,73
886,20
887,2
888,22
889,11
890,15
891,21
892,38
893,21
894,67
895,25
896,6
897,34
898,4
899,39
900,77
901,11
902,12
903,35
904,4
905,7
906,20
907,16
908,29
909,13
910,34
911,25
912,59
913,17
914,30
915,62
916,58
917,46
918,47
919,29
920,13
921,16
922,59
923,7
924,18
925,18
926,57
927,2
928,2
929,8
930,19
931,53
932,39
933,8
934,9
935,39
936,6
937,33
938,27
939,63
940,63
941,12
942,15
943,65
944,27
945,13
946,65
947,29
948,77
949,46
950,59
951,59
952,18
953,18
954,41
955,21
956,35
957,5
958,62
959,36
960,36
961,62
962,50
963,51
964,45
965,54
966,14
967,16
968,43
969,11
970,31
971,70
972,56
973,20
974,22
975,41
976,13
977,66
978,60
979,25
980,35
981,33
982,44
983,35
984,35
985,41
986,69
987,7
988,69
989,16
990,16
991,16
992,4
993,38
994,54
995,29
996,50
997,50
998,27
999,1
1000,53
1001,66
1002,28
1003,60
1004,50
1005,41
1006,6
1007,49
1008,6
1009,60
1010,67
1011,46
1012,14
1013,11
1014,1
1015,1
1016,16
1017,66
1018,5
1019,14
1020,31
1021,31
1022,3
1023,38
1024,59
1025,43
1026,16
1027,55
1028,32
1029,32
1030,56
1031,16
1032,13
1033,31
1034,57
1035,23
1036,23
1037,38
1038,25
1039,40
1040,53
1041,9
1042,38
1043,55
1044,29
1045,7
1046,15
1047,18
1048,59
1049,64
1050,9
1051,38
1052,69
1053,27
1054,52
1055,57
1056,41
1057,4
1058,15
1059,23
1060,53
1061,4
1062,18
1063,59
1064,52
1065,45
1066,73
1067,54
1068,15
1069,4
1070,4
1071,4
1072,55
1073,1
1074,44
1075,18
1076,27
1077,27
1078,55
1079,56
1080,19
1081,26
1082,35
1083,16
1084,11
1085,75
1086,9
1087,72
1088,52
1089,54
1090,29
1091,29
1092,20
1093,6
1094,29
1095,4
1096,69
1097,54
1098,12
1099,27
1100,4
1101,4
1102,11
1103,9
1104,9
1105,19
1106,17
1107,12
1108,31
1109,11
1110,42
1111,1
1112,52
1113,55
1114,15
1115,35
1116,2
1117,1
1118,42
1119,14
1120,24
1121,32
1122,29
1123,16
1124,28
1125,16
1126,20
1127,17
1128,43
1129,78
1130,66
1131,15
1132,24
1133,16
1134,42
1135,16
1136,1
1137,7
1138,20
1139,24
1140,24
1141,13
1142,16
1143,14
1144,40
1145,38
1146,63
1147,37
1148,75
1149,37
1150,19
1151,32
1152,11
1153,46
1154,54
1155,22
1156,16
1157,38
1158,25
1159,39
1160,8
1161,59
1162,13
1163,22
1164,68
1165,15
1166,6
1167,8
1168,41
1169,60
1170,72
1171,65
1172,15
1173,15
1174,20
1175,15
1176,43
1177,47
1178,45
1179,45
1180,54
1181,53
1182,56
1183,38
1184,69
1185,77
1186,31
1187,25
1188,15
1189,21
1190,66
1191,28
1192,19
1193,3
1194,36
1195,39
1196,72
1197,72
1198,65
1199,6
1200,38
1201,39
1202,14
1203,30
1204,30
1205,48
1206,69
1207,6
1208,6
1209,6
1210,60
1211,61
1212,55
1213,67
1214,68
1215,11
1216,51
1217,2
1218,15
1219,9
1220,45
1221,15
1222,31
1223,52
1224,42
1225,38
1226,29
1227,7
1228,37
1229,7
1230,12
1231,34
1232,69
1233,63
1234,76
1235,76
1236,45
1237,66
1238,66
1239,29
1240,29
1241,76
1242,51
1243,24
1244,27
1245,14
1246,9
1247,61
1248,78
1249,55
1250,1
1251,74
1252,11
1253,27
1254,71
1255,18
1256,53
1257,19
1258,63
1259,15
1260,31
1261,31
1262,22
1263,36
1264,20
1265,71
1266,71
1267,15
1268,34
1269,57
1270,55
1271,16
1272,4
1273,4
1274,35
1275,15
1276,15
1277,63
1278,43
1279,39
1280,49
1281,25
1282,20
1283,4
1284,38
1285,7
1286,65
1287,62
1288,52
1289,41
1290,67
1291,67
1292,17
1293,17
1294,57
1295,23
1296,1
1297,35
1298,35
1299,40
1300,59
1301,49
1302,24
1303,24
1304,39
1305,28
1306,16
1307,43
1308,18
1309,55
1310,42
1311,59
1312,18
1313,18
1314,15
1315,11
1316,24
1317,67
1318,63
1319,53
1320,15
1321,17
1322,53
1323,73
1324,60
1325,1
1326,41
1327,19
1328,5
1329,16
1330,52
1331,39
1332,22
1333,17
1334,45
1335,53
1336,17
1337,17
1338,2
1339,51
1340,3
1341,32
1342,66
1343,41
1344,54
1345,52
1346,19
1347,37
1348,19
1349,1
1350,43
1351,15
1352,24
1353,16
1354,78
1355,21
1356,65
1357,51
1358,30
1359,32
1360,51
1361,32
1362,69
1363,24
1364,20
1365,7
1366,9
1367,39
1368,20
1369,67
1370,9
1371,27
1372,39
1373,15
1374,22
1375,35
1376,11
1377,53
1378,53
1379,53
1380,53
1381,54
1382,59
1383,72
1384,67
1385,67
1386,20
1387,1
1388,69
1389,63
1390,40
1391,7
1392,54
1393,25
1394,9
1395,67
1396,27
1397,27
1398,12
1399,33
1400,35
1401,17
1402,15
1403,29
1404,43
1405,4
1406,43
1407,22
1408,38
1409,63
1410,5
1411,52
1412,52
1413,52
1414,66
1415,9
1416,7
1417,41
1418,27
1419,62
1420,32
1421,41
1422,23
1423,15
1424,26
1425,39
1426,72
1427,16
1428,20
1429,26
1430,11
1431,15
1432,43
1433,63
1434,38
1435,50
1436,61
1437,61
1438,41
1439,70
1440,27
1441,49
1442,50
1443,4
1444,10
1445,60
1446,55
1447,7
1448,48
1449,1
1450,17
1451,55
1452,44
1453,32
1454,23
1455,11
1456,25
1457,77
1458,39
1459,63
1460,43
1461,61
1462,39
1463,48
1464,22
1465,68
1466,1
1467,60
1468,41
1469,78
1470,50
1471,8
1472,53
1473,58
1474,4
1475,1
1476,4
1477,38
1478,9
1479,5
1480,20
1481,47
1482,57
1483,48
1484,61
1485,16
1486,11
1487,7
1488,52
